season,date,team1,team2,average_age,points_last_season,points_this_season,rank_last_season,squad,total_market_value_in_euro,result_team1
2019,2019-09-28,FC Augsburg,Bayer Leverkusen,0.5232558139534883,0.48556430446194226,0.4576271186440678,0.775,0.7222222222222222,0.3263790864434532,0
2019,2019-09-28,Mainz,VfL Wolfsburg,0.4186046511627908,0.5039370078740157,0.4491525423728814,0.65,0.4166666666666667,0.45267347975834227,0
2019,2019-09-28,Borussia Dortmund,Werder Bremen,0.30232558139534893,0.5498687664041995,0.559322033898305,0.35,0.5277777777777778,0.7761560612049009,1
2019,2019-09-28,RB Leipzig,Schalke 04,0.36046511627906985,0.562992125984252,0.5254237288135594,0.225,0.6388888888888888,0.6965840438145785,0
2019,2019-09-28,TSG Hoffenheim,Borussia Monchengladbach,0.5581395348837209,0.5144356955380577,0.4576271186440678,0.6,0.5833333333333334,0.5175484162384959,0
2019,2019-09-29,FC Cologne,Hertha Berlin,0.6162790697674418,0.46325459317585305,0.4915254237288136,0.7,0.3055555555555556,0.40503077183671166,0
2019,2019-09-29,Fortuna Düsseldorf,SC Freiburg,0.5465116279069766,0.5301837270341206,0.4491525423728814,0.425,0.6944444444444444,0.4859127096154932,0
2019,2019-10-04,Hertha Berlin,Fortuna Düsseldorf,0.2790697674418607,0.5185601799775028,0.576271186440678,0.525,0.6388888888888888,0.6066681723222855,2
2019,2019-10-05,SC Freiburg,Borussia Dortmund,0.6511627906976745,0.4746906636670416,0.5423728813559322,0.775,0.3055555555555556,0.17825080458472137,1
2019,2019-10-05,SC Paderborn,Mainz,0.6627906976744184,0.4713160854893138,0.4830508474576271,0.7,0.4166666666666667,0.42866015470611485,0
2019,2019-10-05,Bayer Leverkusen,RB Leipzig,0.755813953488372,0.5106861642294713,0.5254237288135594,0.525,0.25,0.4317091073344249,1
2019,2019-10-05,Schalke 04,FC Cologne,0.3720930232558138,0.5568053993250843,0.6101694915254238,0.375,0.4444444444444444,0.554644006549602,1
2019,2019-10-05,Bayern Munich,TSG Hoffenheim,0.1860465116279071,0.5500562429696289,0.576271186440678,0.3,0.5277777777777778,0.8498955451414375,0
2019,2019-10-06,VfL Wolfsburg,1. FC Union Berlin,0.32558139534883723,0.5815523059617548,0.6186440677966102,0.125,0.6111111111111112,0.6107221500762238,2
2019,2019-10-06,Eintracht Frankfurt,Werder Bremen,0.5232558139534883,0.5208098987626546,0.5508474576271186,0.475,0.4722222222222222,0.5255039241149568,1
2019,2019-10-06,Borussia Monchengladbach,FC Augsburg,0.5581395348837209,0.5455568053993252,0.6186440677966102,0.25,0.4166666666666667,0.5719891592795437,2
2019,2019-10-18,Eintracht Frankfurt,Bayer Leverkusen,0.6395348837209301,0.515748031496063,0.5254237288135594,0.575,0.6666666666666666,0.3905482468522387,2
2019,2019-10-19,1. FC Union Berlin,SC Freiburg,0.5465116279069766,0.484251968503937,0.4661016949152542,0.7,0.6111111111111112,0.4543052340353453,2
2019,2019-10-19,Werder Bremen,Hertha Berlin,0.7209302325581394,0.5295275590551181,0.5084745762711864,0.425,0.3333333333333333,0.45301225227259895,1
2019,2019-10-19,RB Leipzig,VfL Wolfsburg,0.30232558139534893,0.530511811023622,0.5169491525423728,0.425,0.5,0.6838123200271018,1
2019,2019-10-19,FC Augsburg,Bayern Munich,0.6976744186046511,0.4744094488188976,0.4491525423728814,0.85,0.4722222222222222,0.060566879340522836,1
2019,2019-10-19,Fortuna Düsseldorf,Mainz,0.755813953488372,0.5206692913385826,0.5338983050847458,0.45,0.5555555555555556,0.46821184574558183,2
2019,2019-10-19,Borussia Dortmund,Borussia Monchengladbach,0.3372093023255816,0.5403543307086615,0.5169491525423728,0.425,0.5833333333333334,0.7428321382191858,2
2019,2019-10-20,TSG Hoffenheim,Schalke 04,0.755813953488372,0.5374015748031497,0.5,0.375,0.6111111111111112,0.5442098131104963,2
2019,2019-10-20,FC Cologne,SC Paderborn,0.48837209302325607,0.5196850393700787,0.576271186440678,0.475,0.5833333333333334,0.5512506351984642,2
2019,2019-10-25,Mainz,FC Cologne,0.34883720930232553,0.5573053368328958,0.5423728813559322,0.325,0.5,0.520089210095421,2
2019,2019-10-26,Schalke 04,Borussia Dortmund,0.4651162790697674,0.48206474190726156,0.5169491525423728,0.8,0.3888888888888889,0.23050646490881374,1
2019,2019-10-26,SC Paderborn,Fortuna Düsseldorf,0.40697674418604646,0.48118985126859143,0.5,0.75,0.3611111111111111,0.460448308960533,2
2019,2019-10-26,Bayer Leverkusen,Werder Bremen,0.38372093023255816,0.5240594925634295,0.5677966101694916,0.4,0.3055555555555556,0.6349556772627181,1
2019,2019-10-26,SC Freiburg,RB Leipzig,0.8255813953488372,0.49343832020997375,0.5423728813559322,0.75,0.2777777777777778,0.2511602958613291,2
2019,2019-10-26,Hertha Berlin,TSG Hoffenheim,0.2558139534883724,0.5126859142607174,0.5,0.55,0.6388888888888888,0.4961154085031901,0
2019,2019-10-26,Bayern Munich,1. FC Union Berlin,0.2093023255813954,0.5879265091863517,0.6186440677966102,0.0,0.6111111111111112,0.9920557845406809,2
2019,2019-10-27,VfL Wolfsburg,FC Augsburg,0.4186046511627908,0.5398075240594926,0.6101694915254238,0.275,0.5277777777777778,0.55809948619502,1
2019,2019-10-27,Borussia Monchengladbach,Eintracht Frankfurt,0.4418604651162791,0.5205599300087489,0.5677966101694916,0.45,0.4722222222222222,0.5078199988707582,2
2019,2019-11-01,TSG Hoffenheim,SC Paderborn,0.6162790697674418,0.5598425196850393,0.635593220338983,0.225,0.6388888888888888,0.6501044548585625,2
2019,2019-11-02,Borussia Dortmund,VfL Wolfsburg,0.4767441860465117,0.5362204724409448,0.5423728813559322,0.4,0.4722222222222222,0.7567218113037095,2
2019,2019-11-02,Bayer Leverkusen,Borussia Monchengladbach,0.4186046511627908,0.5220472440944882,0.4661016949152542,0.475,0.3611111111111111,0.601631754277003,0
2019,2019-11-02,Werder Bremen,SC Freiburg,0.5465116279069766,0.5330708661417323,0.4661016949152542,0.375,0.6666666666666666,0.5455931342103777,1
2019,2019-11-02,RB Leipzig,Mainz,0.38372093023255816,0.5377952755905512,0.6016949152542372,0.275,0.5833333333333334,0.7311388402687595,2
2019,2019-11-02,1. FC Union Berlin,Hertha Berlin,0.7209302325581394,0.4858267716535433,0.5169491525423728,0.75,0.2777777777777778,0.3617243520975665,2
2019,2019-11-02,Eintracht Frankfurt,Bayern Munich,0.8139534883720929,0.5007874015748032,0.5169491525423728,0.65,0.4166666666666667,0.12473603974930834,2
2019,2019-11-03,FC Augsburg,Schalke 04,0.6395348837209301,0.5188976377952756,0.4322033898305085,0.525,0.6111111111111112,0.4546722375924567,0
2019,2019-11-03,Fortuna Düsseldorf,FC Cologne,0.6046511627906975,0.5543307086614173,0.5508474576271186,0.275,0.5555555555555556,0.48830105584100275,2
2019,2019-11-08,FC Cologne,TSG Hoffenheim,0.3720930232558142,0.48317823908375085,0.4152542372881356,0.75,0.4444444444444444,0.40114618033990174,0
2019,2019-11-09,Schalke 04,Fortuna Düsseldorf,0.2674418604651163,0.5118110236220472,0.5932203389830508,0.6,0.3888888888888889,0.5663429507085992,1
