name	train_loss	train_acc	test_loss	test_acc 
Adam_mean_absolute_error	0.9510367512702942	0.28393685817718506	0.9784547090530396	0.26374441385269165
Adam_mean_absolute_percentage_error	94645688.0	0.398700088262558	87914856.0	0.4301634430885315
Adam_mean_squared_error	1.4563908576965332	0.27985143661499023	1.5113914012908936	0.2659732401371002
Adam_mean_squared_logarithmic_error	0.4791683852672577	0.4061281383037567	0.4935553967952728	0.4093610644340515
Adam_mse	1.4563912153244019	0.28393685817718506	1.5113914012908936	0.26374441385269165
Adam_msle	0.479168564081192	0.3452182114124298	0.4935553967952728	0.32540860772132874
Adam_poisson	12.100391387939453	0.40631383657455444	12.539657592773438	0.43462109565734863
Adam_sparse_categorical_crossentropy	232896.921875	0.4157845973968506	376273.75	0.36255571246147156
Adam_squared_hinge	0.7613123655319214	0.33704736828804016	0.7545815110206604	0.3365527391433716
Adamax_KLD	23.083158493041992	0.2703806757926941	23.734073638916016	0.25854381918907166
Adamax_MAE	0.9510366916656494	0.4020427167415619	0.9784547090530396	0.43759286403656006
Adamax_MAPE	94645696.0	0.34484678506851196	87914856.0	0.339524507522583
Adamax_MSE	1.4563915729522705	0.30417826771736145	1.5113914012908936	0.29123327136039734
Adamax_MSLE	0.479168564081192	0.33704736828804016	0.4935553967952728	0.3365527391433716
Adamax_categorical_hinge	0.5678737163543701	0.33704736828804016	0.5274888277053833	0.3365527391433716
Adamax_hinge	0.7613123655319214	0.24326834082603455	0.7545815110206604	0.23254086077213287
Adamax_huber	0.6018571257591248	0.2495821714401245	0.6224616169929504	0.22734026610851288
Adamax_kl_divergence	23.083148956298828	0.3790157735347748	23.734073638916016	0.3997028172016144
Adamax_kld	23.083152770996094	0.392386257648468	23.734073638916016	0.4145616590976715
Adamax_kullback_leibler_divergence	23.08315086364746	0.261838436126709	23.734073638916016	0.2630014717578888
Adamax_log_cosh	0.5281264781951904	0.36973074078559875	0.5463284254074097	0.38484397530555725
Adamax_mae	0.9510366916656494	0.2542246878147125	0.9784547090530396	0.23254086077213287
Adamax_mape	94645672.0	0.33704736828804016	87914856.0	0.3365527391433716
Adamax_mean_absolute_error	0.9510366916656494	0.2581244111061096	0.9784547090530396	0.24888558685779572
Adamax_mean_absolute_percentage_error	94645688.0	0.3019498586654663	87914856.0	0.30460622906684875
Adamax_mean_squared_error	1.4563913345336914	0.31457751989364624	1.5113914012908936	0.3001485764980316
Adamax_mean_squared_logarithmic_error	0.4791683554649353	0.3790157735347748	0.4935553967952728	0.3997028172016144
